2.13	83
2.13	80
2.25	85
2.31	3167
1.81	84
1.06	84
0.50	77
0.25	95
-0.31	368
-0.56	3144
-0.44	88
-0.25	344
-0.56	363
-1.19	361
-1.19	3139
-1.06	90
-1.19	3137
-1.19	89
-0.81	3129
0.19	92
1.12	3113
1.88	3115
2.38	3111
2.56	3126
2.31	107
2.00	110
1.69	3094
0.63	105
0.19	3145
0.06	106
-0.31	3132
-0.56	106
-0.81	3145
-1.06	121
-1.25	3145
-1.31	111
-1.44	3138
-1.94	110
-2.44	3162
-3.25	125
-3.69	117
-3.94	3141
-4.31	101
-4.31	3144
-4.25	99
-4.31	3160
-4.31	106
-4.38	3173
-4.25	102
-4.00	3139
-3.88	106
-3.81	110
-3.63	3182
-3.38	102
-3.19	3184
-2.94	130
-2.94	3138
-2.94	124
-2.69	3127
-2.44	122
-2.25	1952
-2.13	3113
-2.00	137
-1.75	3111
-1.63	3129
-2.06	3126
-2.88	3131
-3.31	3145
-3.69	104
-4.06	3131
-4.31	104
-4.56	3143
-4.63	104
-4.50	3158
-4.19	105
-3.88	3067
-3.56	108
-3.38	121
-3.19	3154
-3.13	105
-3.06	3139
-3.00	106
-3.00	3143
-3.38	105
-3.44	3155
-3.38	3138
